P;TITA 12;TITA 9;TITA 12-TITA 9
0;0;0;0,0000000000000
-0,001430122;-0,050996953;-0,050996953;0,0000000000000
-0,00247172;-0,08703561;-0,08703561;0,0000000000000
-0,003013865;-0,106837762;-0,106837762;0,0000000000000
-0,003237983;-0,116278804;-0,116278804;0,0000000000000
-0,003513429;-0,118482505;-0,118482505;0,0000000000000
-0,003842919;-0,115444501;-0,115444501;0,0000000000000
-0,003875762;-0,1157266;-0,1157266;0,0000000000000
-0,003923343;-0,116359476;-0,116359476;0,0000000000000
-0,004067474;-0,117660605;-0,117660605;0,0000000000000
-0,004513887;-0,121501076;-0,121501076;0,0000000000000
-0,004887787;-0,124295163;-0,124295163;0,0000000000000
-0,005185838;-0,126343002;-0,126343002;0,0000000000000
-0,005426862;-0,127861939;-0,127861939;0,0000000000000
-0,005611831;-0,129181265;-0,129181265;0,0000000000000
-0,005753472;-0,12958486;-0,12958486;0,0000000000000
-0,005983036;-0,131905428;-0,131905428;0,0000000000000
-0,006169396;-0,132798999;-0,132798999;0,0000000000000
-0,006169697;-0,132800194;-0,132800194;0,0000000000000
-0,006559197;-0,134344899;-0,134344899;0,0000000000000
-0,006560308;-0,133730285;-0,133730285;0,0000000000000
-0,006854332;-0,136004982;-0,136004982;0,0000000000000
-0,007075;-0,136142072;-0,136142072;0,0000000000000
-0,007238447;-0,132874727;-0,132874727;0,0000000000000
-0,00760153;-0,134267772;-0,134267772;0,0000000000000
-0,007602341;-0,132669806;-0,132669806;0,0000000000000
-0,007611748;-0,134250058;-0,134250058;0,0000000000000
-0,008016287;-0,133634572;-0,133634572;0,0000000000000
-0,008285809;-0,142162879;-0,142162879;0,0000000000000
-0,008531336;-0,129512383;-0,129512383;0,0000000000000
-0,008874811;-0,130370777;-0,130370777;0,0000000000000
-0,007961077;-0,094227997;-0,094227997;0,0000000000000
-0,007302455;-0,062240995;-0,062240995;0,0000000000000
-0,006928947;-0,052075367;-0,052075367;0,0000000000000
-0,006528421;-0,03258611;-0,03258611;0,0000000000000
-0,006261146;-0,020967131;-0,020967131;0,0000000000000
-0,006142096;-0,017172132;-0,017172132;0,0000000000000
-0,006045437;-0,014430704;-0,014430704;0,0000000000000
-0,005955304;-0,012279286;-0,012279286;0,0000000000000
-0,005842131;-0,009724797;-0,009724797;0,0000000000000
-0,005725482;-0,00730413;-0,00730413;0,0000000000000
-0,005573462;-0,004394412;-0,004394412;0,0000000000000
-0,005419589;-0,001627958;-0,001627958;0,0000000000000
-0,00528279;0,000766822;0,000766822;0,0000000000000
-0,005074814;0,004371081;0,004371081;0,0000000000000
-0,004642655;0,010712276;0,010712276;0,0000000000000
-0,004443846;0,012246355;0,012246355;0,0000000000000
-0,004054289;0,018520183;0,018520183;0,0000000000000
-0,003369288;0,028821049;0,028821049;0,0000000000000
-0,003116344;0,033691137;0,033691137;0,0000000000000
-0,002621178;0,043287249;0,043287249;0,0000000000000
-0,002607709;0,043553262;0,043553262;0,0000000000000
-0,002589122;0,043920474;0,043920474;0,0000000000000
-0,002505731;0,045568305;0,045568305;0,0000000000000
-0,002265786;0,050287997;0,050287997;0,0000000000000
-0,002245948;0,050681294;0,050681294;0,0000000000000
-0,002244802;0,050704014;0,050704014;0,0000000000000
-0,002073177;0,054466739;0,054466739;0,0000000000000
-0,002001527;0,05623402;0,05623402;0,0000000000000
-0,00192998;0,057689539;0,057689539;0,0000000000000
-0,001859261;0,059105156;0,059105156;0,0000000000000
-0,001836568;0,059446815;0,059446815;0,0000000000000
-0,001701737;0,061235203;0,061235203;0,0000000000000
-0,001365666;0,062741956;0,062741956;0,0000000000000
-0,000906928;0,064343755;0,064343755;0,0000000000000
-0,000602382;0,065393615;0,065393615;0,0000000000000
0,000266432;0,061473464;0,061473464;0,0000000000000
0,000285067;0,061539069;0,061539069;0,0000000000000
0,001264823;0,065206531;0,065206531;0,0000000000000
0,001637886;0,066599593;0,066599593;0,0000000000000
0,001730524;0,067052896;0,067052896;0,0000000000000
0,002263843;0,068576294;0,068576294;0,0000000000000
0,003535902;0,072737033;0,072737033;0,0000000000000
0,005192058;0,07988702;0,07988702;0,0000000000000
0,00607557;0,074203334;0,074203334;0,0000000000000
0,006190218;0,073874782;0,073874782;0,0000000000000
0,006404529;0,074790837;0,074790837;0,0000000000000
0,005177879;0,044600292;0,044600292;0,0000000000000
0,004451984;0,028786473;0,028786473;0,0000000000000
0,004024671;0,020431578;0,020431578;0,0000000000000
0,003481437;0,010033265;0,010033265;0,0000000000000
0,002491878;-0,004561945;-0,004561945;0,0000000000000
0,002223347;-0,009420576;-0,009420576;0,0000000000000
0,001921595;-0,014591231;-0,014591231;0,0000000000000
0,001508184;-0,022585568;-0,022585568;0,0000000000000
0,000518027;-0,041181632;-0,041181632;0,0000000000000
0,000303756;-0,045320625;-0,045320625;0,0000000000000
-0,000148381;-0,047380132;-0,047380132;0,0000000000000
-0,000917211;-0,049961905;-0,049961905;0,0000000000000
-0,001278948;-0,05118468;-0,05118468;0,0000000000000
-0,002159589;-0,053597588;-0,053597588;0,0000000000000
-0,003300563;-0,056138345;-0,056138345;0,0000000000000
-0,00424964;-0,058046488;-0,058046488;0,0000000000000
-0,004746189;-0,059748618;-0,059748618;0,0000000000000
-0,005073567;-0,063111873;-0,063111873;0,0000000000000
-0,005207091;-0,063602304;-0,063602304;0,0000000000000
-0,00528681;-0,063970881;-0,063970881;0,0000000000000
-0,005470253;-0,064889535;-0,064889535;0,0000000000000
-0,005638364;-0,065855777;-0,065855777;0,0000000000000
-0,005808653;-0,066687366;-0,066687366;0,0000000000000
-0,006001775;-0,067677961;-0,067677961;0,0000000000000
-0,006094;-0,067704954;-0,067704954;0,0000000000000
-0,006235205;-0,0687543;-0,0687543;0,0000000000000
-0,00631805;-0,070112221;-0,070112221;0,0000000000000
-0,006409835;-0,070805572;-0,070805572;0,0000000000000
-0,006411837;-0,07098477;-0,07098477;0,0000000000000
-0,006703595;-0,077666392;-0,077666392;0,0000000000000
-0,006758274;-0,078146277;-0,078146277;0,0000000000000
-0,006774876;-0,075889301;-0,075889301;0,0000000000000
-0,006990053;-0,08197707;-0,08197707;0,0000000000000
-0,007270476;-0,090592113;-0,090592113;0,0000000000000
-0,007498907;-0,093845345;-0,093845345;0,0000000000000
-0,007760525;-0,09850306;-0,09850306;0,0000000000000
-0,008029739;-0,113861842;-0,113861842;0,0000000000000
-0,00821364;-0,105825156;-0,105825156;0,0000000000000
